3734,Empyrean Solar Vortex, Earth Ancient Wizard of the Shadows, Blight, Vortex, Dark Fighter Goblin, Burst, Helmet, Frozen Knight Cyclops, Boots, Age, Light Queen Cyclops, Death Assassin Kraken, Staff, Death Knight Cyclops, Freeze, Dark Monk Griffin, Death Merchant Orc, Burn, Chimeric Shrink, Fury, Potent Solar Strength, Magi, Drain, Magi, Death Rogue Goblin, Berserker, Sigil, Fairy, Skin-Walker, Crown, Earth Queen Hydra, Shield, Fairy, Fairy, Reanimate, Invert, Torment, Mighty Victory Invert, Frozen Queen Hydra, Rage, Gloves, Dire Apocalypse Scythe, Helm, Dark Queen Giant of the Black Stone, Sorrow Alacrity]
3724,Gravitation, Fairy, Spider, Earth Thief Elf of the West, Death Priest Griffin, Amulet, Lunar Crown, Tome, Empyrean Apocalypse Belt, Warlock, Dark King Hydra, Rage, Revive, Paladin, Instant Hateful Infuriate, Crown, Wolf, Troll, Forged Deathgrip, Mighty Grim Invert, Fairy, Amulet, Shrink, Blight, Hateful Ice, Death Queen Hydra, Wolf, Strength, Pendant, Frost, Instant Solar Freeze, Troll, Frozen Assassin Cyclops, Aura Rogue Cyclops, Frozen Assassin Giant of the Golden Palace, Vortex, Chimeric Helm, Paladin, Spider, Skin-Walker, Urgent Miracle Stricken, Berserker, Light Monk Hydra, Frozen Merchant Ogre of the Frozen Castle, Mighty Nature Pandemonium]
3725,Frozen Undead Giant of the Eternal Land, Deathgrip, Frenzy, Shield, Lethargy, Warlock, Helmet, Lightning, Frost, Necro Ring, Troll, Forged Invisibility, Lethargy, Shield, Ice, Invisibility, Reanimate, Death Warrior Oni of the Border, Staff, Apocalypse Burst, Earth Knight Orc, Hypnosis, Ghost Wand, Drain, Fury, Haste, Ring, Paladin, Stun, Dark Undead Kraken, Skin-Walker, Apocalypse Revive, Dark Warrior Orc, Berserker, Gale, Warlock, Berserker, Death Rogue Oni of the Black Stone, Gravitation, Infuriate, Deathgrip, Aura Knight Hydra, Earth Warrior Cyclops, Ghoul, Life Burn]
3798,Troll, Dark Monk Griffin, Alacrity, Earth Priest Dwarf of the Eastern Skies, Wolf, Clever Dark Tempest, Skin-Walker, Tempest, Warlock, Aura Ancient Demon of the Light, Paladin, Strength, Fairy, Reanimate, Fairy, Earth Fighter Kraken, Boots, Ghost Wand, Clever Forged Cloak, Reanimate, Spider, Oblivion Belt, Magi, Wolf, Tempest, Ghoul, Scythe, Burst, Magi, Warlock, Solar Greaves, Blight, Age, Death Lord Hydra, Snow Priest Giant of the Haven, Ice, Assault, Helmet, Light Undead Dragon of the Sky, Troll, Rage, Warlock, Blight, Burst, Hateful Ice]
344,Stun, Deathgrip, Shrink, Reanimate, Haste, Flight, Lethargy, Death Fighter Dwarf of the Golden Palace, Fairy, Stun, Death Monk Giant of the Swamp, Hateful Agony, Light King Hydra, Shield, Alacrity, Strength, Clever Shimmering Potion, Skin-Walker, Light Undead Orc, Wolf, Fairy, Ring, Lethargy, Hateful Freeze, Fairy, Clever Forged Boots, Spider, Aura Undead Phoenix of the Light, Fairy, Vortex, Torment, Burn, Earth Knight Giant of the Plains, Victory Frost, Skin-Walker, Sword, Forged Ice, Death Warrior Oni of the Plains, Death Fighter Goblin, Tome, Divine Robe, Pandemonium, Cataclysmic Wall, Invert, Chimeric Vortex]
345,Troll, Freeze, Eagle, Fairy, Aura Warrior Dwarf of the Border, Bracers, Frozen Lord Oni of the West, Drain, Spider, Firebreath, Spider, Urgent Nimble Invert, Skin-Walker, Snow Queen Orc, Urgent Apocalypse Tempest, Ghoul, Helmet, Shimmering Potion, Ghoul, Snow Undead Kraken, Warlock, Corpse Tome, Eagle, Ghoul, Fairy, Invert, Clever Necro Lethargy, Firebreath, Magi, Heal, Ghoul, Hateful Sword, Frozen Queen Hydra, Spider, Troll, Paladin, Life Greaves, Death Chaos Wizard of the Dead, Drain, Hateful Gale, Earth Assassin Goblin, Zealous Dark Alacrity, Fairy, Warlock, Shade]
346,Torment, Aura Fighter Griffin, Dark Tempest, Mighty Forged Agony, Dark Fireball, Aura Nameless Phoenix of the Light, Skin-Walker, Potent Forged Strength, Ghoul, Stun, Magi, Frozen Time Dragon of the Void, Spider, Paladin, Eagle, Invisibility, Lightning, Oblivion Drain, Ring, Flight, Lightning, Death Fighter Hydra, Wall, Frozen Lord Cyclops, Snow Merchant Cyclops, Light Lord Giant of the Haven, Magi, Berserker, Troll, Shield, Ghost Wand, Gravitation, Warlock, Earth Warrior Goblin, Frozen Knight Hydra, Earth King Hydra, Infuriate, Snow Warrior Hydra, Firebreath, Snow Undead Kraken, Burst, Fairy, Wolf, Firebreath, Bow]
347,Warlock, Spider, Wolf, Fairy, Empyrean Solar Infuriate, Haste, Frozen Time Dragon of the Void, Snow King Goblin, Haste, Urgent Life Pandemonium, Earth Knight Orc, Gloves, Paladin, Troll, Skin-Walker, Sword, Frozen Fighter Kraken, Magi, Skin-Walker, Magi, Vortex, Warlock, Berserker, Skin-Walker, Light Rogue Kraken, Frozen Priest Hydra, Dire Hateful Wall, Crown, Earth Merchant Kraken, Spider, Troll, Shrink, Ghoul, Shield, Shrink, Deathgrip, Empyrean Hateful Fireball, Troll, Heal, Infuriate, Snow King Kraken, Snow Merchant Griffin, Magi, Magi, Skin-Walker]
340,Light Thief Kraken, Eagle, Sorrow, Blight, Shade, Bow, Lightning, Age, Earth Knight Kraken, Frigid Pandemonium, Boots, Stricken, Blight, Skin-Walker, Aura King Cyclops, Crown, Chimeric Pandemonium, Frost, Sorrow Firebreath, Eagle, Fairy, Frenzy, Troll, Stun, Troll, Pendant, Invisibility, Skin-Walker, Invisibility, Earth Undead Griffin, Paladin, Dark Thief Hydra, Wolf, Berserker, Gale, Flight, Firebreath, Paladin, Lightning, Solar Strength, Fairy, Aura Queen Dwarf of the Eastern Skies, Reanimate, Light Monk Kraken, Light Knight Hydra]
341,Frozen Knight Giant of the Plains, Earth Ancient Wizard of the Shadows, Death Assassin Oni of the Black Stone, Miracle Flight, Instant Miracle Divine Robe, Deathgrip, Divine Robe, Invisibility, Magi, Wolf, Warlock, Ghoul, Nimble Shade, Spider, Haste, Earth Fighter Cyclops, Pandemonium, Fairy, Skin-Walker, Solar Agony, Frost, Snow Time Phoenix of Hate, Wolf, Death Warrior Ogre of the Eastern Skies, Oblivion Maelstrom, Agony, Ring, Blight, Hypnosis, Rage, Miracle Bow, Instant Frigid Drain, Fairy, Troll, Shield, Earth Undead Dwarf of the Arctic Blizzards, Earth Merchant Griffin, Eagle, Sigil, Ghoul, Paladin, Boots, Urgent Gloom Flight, Earth Merchant Goblin, Lethargy]
